n,sum_radii,max_violation,seeds,feasible
2,0.585786437607,0.00e+00,1..10,1
3,0.796287456117,0.00e+00,1..10,1
4,1.006788474628,0.00e+00,1..10,1
5,1.103553390544,0.00e+00,1..10,1
6,1.202838910811,0.00e+00,1..10,1
7,1.306546350689,0.00e+00,1..10,1
8,1.423813915240,0.00e+00,1..10,1
9,1.524365359281,0.00e+00,1..10,1
10,1.591012852535,0.00e+00,1..10,1
11,1.680058380671,0.00e+00,1..10,1
12,1.765978318052,0.00e+00,1..10,1
13,1.829542411565,0.00e+00,1..10,1
14,1.905667205157,0.00e+00,1..10,1
15,1.980266508297,0.00e+00,1..10,1
16,2.053080418282,0.00e+00,1..10,1
17,2.111185327662,0.00e+00,1..10,1
18,2.178530295794,0.00e+00,1..10,1
19,2.236704571106,0.00e+00,1..10,1
20,2.301122834302,0.00e+00,1..10,1
21,2.362117319170,0.00e+00,1..10,1
22,2.420202649532,0.00e+00,1..10,1
23,2.478013611737,0.00e+00,1..10,1
24,2.530311586736,0.00e+00,1..10,1
25,2.587275055025,0.00e+00,1..10,1
26,2.635983084664,0.00e+00,1..10,1
27,2.685978683962,0.00e+00,1..10,1
28,2.737739985259,0.00e+00,1..10,1
29,2.790344154343,0.00e+00,1..10,1
30,2.842668747169,0.00e+00,1..10,1
31,2.889969851630,0.00e+00,1..10,1
32,2.939572770894,0.00e+00,1..10,1
33,2.987285008267,0.00e+00,1..10,1
34,3.029799270851,0.00e+00,1..10,1
35,3.074036363384,0.00e+00,1..10,1
36,3.121754485742,0.00e+00,1..10,1
37,3.161498915818,0.00e+00,1..10,1
38,3.205753900494,0.00e+00,1..10,1
39,3.247673622024,0.00e+00,1..10,1
40,3.292391572220,0.00e+00,1..10,1
41,3.336245021561,0.00e+00,1..10,1
42,3.380421747201,0.00e+00,1..10,1
43,3.422605517632,0.00e+00,1..10,1
44,3.466043567809,0.00e+00,1..10,1
45,3.503095054775,0.00e+00,1..10,1
46,3.538293269991,0.00e+00,1..10,1
47,3.576900130099,0.00e+00,1..10,1
48,3.615166622353,0.00e+00,1..10,1
49,3.655120474186,0.00e+00,1..10,1
50,3.691712400331,0.00e+00,1..10,1
51,3.729658093292,0.00e+00,1..10,1
52,3.766233110266,0.00e+00,1..10,1
53,3.804408801529,0.00e+00,1..10,1
54,3.842635794451,0.00e+00,1..10,1
55,3.882016352269,0.00e+00,1..10,1
56,3.918995277686,0.00e+00,1..10,1
57,3.953942540013,0.00e+00,1..10,1
58,3.988108693719,0.00e+00,1..10,1
59,4.023613974034,0.00e+00,1..10,1
60,4.056310215014,0.00e+00,1..10,1
61,4.087823694399,0.00e+00,1..10,1
62,4.122816769335,0.00e+00,1..4,1
63,4.153848569495,0.00e+00,1..10,1
64,4.186707658127,0.00e+00,1..10,1
65,4.218344570442,0.00e+00,1..10,1
66,4.254094762683,0.00e+00,1..4,1
67,4.287777804719,0.00e+00,1..4,1
68,4.322886592609,0.00e+00,1..10,1
69,4.356995844250,0.00e+00,1..10,1
70,4.392033305983,0.00e+00,1..10,1
71,4.426322768751,0.00e+00,1..10,1
72,4.458700039669,0.00e+00,1..10,1
73,4.485764374660,0.00e+00,1..10,1
74,4.515831513869,0.00e+00,1..10,1
75,4.548127236409,0.00e+00,1..10,1
76,4.575673264372,0.00e+00,1..10,1
77,4.605135680553,0.00e+00,1..10,1
78,4.634294321671,0.00e+00,1..10,1
79,4.663087542349,0.00e+00,1..10,1
80,4.695590667172,0.00e+00,1..10,1
81,4.723951199180,0.00e+00,1..10,1
82,4.752137877327,0.00e+00,1..10,1
83,4.783919132496,0.00e+00,1..10,1
84,4.813516973521,0.00e+00,1..10,1
85,4.845134377814,0.00e+00,1..10,1
86,4.873329026458,0.00e+00,1..10,1
87,4.906503569918,0.00e+00,1..10,1
88,4.926769797725,0.00e+00,1..10,1
89,4.960536551251,0.00e+00,1..10,1
90,4.984305607465,0.00e+00,1..10,1
91,5.012564024163,0.00e+00,1..10,1
92,5.038868087882,0.00e+00,1..10,1
93,5.066398512845,0.00e+00,1..10,1
94,,,1..10,0
95,,,1..10,0
96,,,1..10,0
97,,,1..10,0
98,,,1..10,0
99,,,1..10,0
100,,,1..10,0
