n,sum_radii,max_violation,seeds,feasible
25,2.587275055247,-1.00e-12,"1,2,3,4",1
28,2.737739985505,-1.00e-12,"1,2,3,4",1
30,2.839076886723,-1.00e-12,"1,2,3,4",1
32,2.939572771174,-1.00e-12,"1,2,3,4",1
34,3.029683804761,-1.00e-12,"1,2,3,4",1
35,3.074036363693,-1.00e-12,"1,2,3,4",1
36,3.121754486065,-1.00e-12,"1,2,3,4",1
38,3.203329312811,-1.00e-12,"1,2,3,4",1
39,3.247415320626,-1.00e-12,"1,2,3,4",1
41,3.335935693438,-1.00e-12,"1,2,3,4",1
47,3.575574376169,-1.00e-12,"1,2,3,4",1
54,3.837429442982,-1.00e-12,"1,2,3,4",1
