# Packomania 'csqv' best-known sum-of-radii: N variable circles in a unit square, maximize Sum(r).
# Source: https://www.packomania.com/csqv/csqv.html  (maintainer: Dr. Eckard Specht, OvGU Magdeburg)
# Fetched + verified 2026-08-09 (re-scrape). Best-known values, NOT proven optima. See sota/README.md.
# Update 2026-08-09: 41/100 rows improved vs the 2026-08-03 scrape -- almost all large-N (N>=48), mostly
#   ref [10] (Everett Dutton); N=27 is now 2.685978684198 [11] (equals our result -> our win is now the record/tie).
n,best_sum_radii
1,0.500000000000
2,0.585786437626
3,0.796287456147
4,1.006788474668
5,1.103553390593
6,1.202838910871
7,1.306546350758
8,1.423813915320
9,1.524365359370
10,1.591012852634
11,1.680058380778
12,1.765978318170
13,1.829542411692
14,1.905667205293
15,1.980266508444
16,2.053080418439
17,2.111185327830
18,2.178530295972
19,2.236704571294
20,2.301122834497
21,2.362117319374
22,2.420202649748
23,2.478013611963
24,2.530311586971
25,2.587275055266
26,2.635983084918
27,2.685978684198
28,2.737739985536
29,2.790344154631
30,2.842668747462
31,2.889969851933
32,2.939572771205
33,2.987285008591
34,3.029799271188
35,3.074036363728
36,3.121754486102
37,3.161498916179
38,3.205945627974
39,3.248110798173
40,3.292391572609
41,3.336245021959
42,3.380421747611
43,3.422605518048
44,3.466043568234
45,3.503095055216
46,3.539568936862
47,3.578955041750
48,3.615166622821
49,3.655413576541
50,3.689944926007
51,3.727021028707
52,3.765353522998
53,3.803308399164
54,3.841733103296
55,3.881992983052
56,3.918995278232
57,3.954683754497
58,3.990566331646
59,4.023613974606
60,4.057375010904
61,4.091602684217
62,4.122646173929
63,4.153419675083
64,4.190585830354
65,4.219413302014
66,4.253570319327
67,4.287265111281
68,4.322065528308
69,4.356202760849
70,4.392179819755
71,4.424767281371
72,4.458515412631
73,4.488004575020
74,4.518264420768
75,4.548223289937
76,4.578201562751
77,4.604940889106
78,4.635843558758
79,4.664674436598
80,4.693110077471
81,4.726033735177
82,4.751887781603
83,4.782255354392
84,4.813488264696
85,4.844696924329
86,4.876312684220
87,4.906314285985
88,4.939497171360
89,4.966708260631
90,4.996999276706
91,5.021462693130
92,5.048426925392
93,5.071029091028
94,5.098748716187
95,5.125567045105
96,5.152146722729
97,5.180639279289
98,5.204165507569
99,5.233204567399
100,5.261573443983
