n,sum_radii,max_violation,record_20260814,delta,feasible
53,3.805568432564,0.00e+00,3.804408802004,+1.160e-03,1
63,4.154116740618,0.00e+00,4.153848570061,+2.682e-04,1
65,4.221928422662,0.00e+00,4.219413302014,+2.515e-03,1
67,4.289481392390,0.00e+00,4.287777805457,+1.704e-03,1
69,4.357977705112,0.00e+00,4.356995844873,+9.819e-04,1
73,4.488782078921,0.00e+00,4.488004575020,+7.775e-04,1
75,4.550081805192,0.00e+00,4.548223289937,+1.859e-03,1
77,4.605527989026,0.00e+00,4.605135681249,+3.923e-04,1
79,4.666630641409,0.00e+00,4.664674436598,+1.956e-03,1
83,4.784464220734,0.00e+00,4.783919133241,+5.451e-04,1
85,4.846671972827,0.00e+00,4.845134378577,+1.538e-03,1
87,4.907558130319,0.00e+00,4.906503570705,+1.055e-03,1
91,5.022578167830,0.00e+00,5.021462693130,+1.115e-03,1
93,5.073650364681,0.00e+00,5.071029091028,+2.621e-03,1
95,5.126259907290,0.00e+00,5.125567045105,+6.929e-04,1
97,5.181096077359,0.00e+00,5.180639279289,+4.568e-04,1
99,5.235423639117,0.00e+00,5.233204567399,+2.219e-03,1
