n,sum_radii,max_violation,seeds,feasible
2,0.585786437625,0.00e+00,1..10,1
3,0.796287456145,0.00e+00,1..10,1
4,1.006788474665,0.00e+00,1..10,1
5,1.103553390589,0.00e+00,1..10,1
6,1.202838910866,0.00e+00,1..10,1
7,1.306546350751,0.00e+00,1..10,1
8,1.423813915311,0.00e+00,1..10,1
9,1.524365359363,0.00e+00,1..10,1
10,1.591012852626,0.00e+00,1..10,1
11,1.680058380770,0.00e+00,1..10,1
12,1.765978318159,0.00e+00,1..10,1
13,1.829542411680,0.00e+00,1..10,1
14,1.905667205284,0.00e+00,1..10,1
15,1.980266508430,0.00e+00,1..10,1
16,2.053080418425,0.00e+00,1..10,1
17,2.111185327814,0.00e+00,1..10,1
18,2.178530295954,0.00e+00,1..10,1
19,2.236704571278,0.00e+00,1..10,1
20,2.301122834482,0.00e+00,1..10,1
21,2.362117319359,0.00e+00,1..10,1
22,2.420202649731,0.00e+00,1..10,1
23,2.478013611943,0.00e+00,1..10,1
24,2.530311586951,0.00e+00,1..10,1
25,2.587275055251,0.00e+00,1..10,1
26,2.635983084897,0.00e+00,1..10,1
27,2.685978684204,0.00e+00,1..10,1
28,2.737739985511,0.00e+00,1..10,1
29,2.790344154603,0.00e+00,1..10,1
30,2.842668747441,0.00e+00,1..10,1
31,2.889969851909,0.00e+00,1..10,1
32,2.939572771181,0.00e+00,1..10,1
33,2.987285008565,0.00e+00,1..10,1
34,3.029799271161,0.00e+00,1..10,1
35,3.074036363701,0.00e+00,1..10,1
36,3.121754486073,0.00e+00,1..10,1
37,3.161498916149,0.00e+00,1..10,1
38,3.205753900836,0.00e+00,1..10,1
39,3.247673622372,0.00e+00,1..10,1
40,3.292391572579,0.00e+00,1..10,1
41,3.336245021929,0.00e+00,1..10,1
42,3.380421747580,0.00e+00,1..10,1
43,3.422605518017,0.00e+00,1..10,1
44,3.466043568204,0.00e+00,1..10,1
45,3.503095055182,0.00e+00,1..10,1
46,3.538293270403,0.00e+00,1..10,1
47,3.576900130526,0.00e+00,1..10,1
48,3.615166622785,0.00e+00,1..10,1
49,3.655120474628,0.00e+00,1..10,1
50,3.691712400780,0.00e+00,1..10,1
51,3.729658093746,0.00e+00,1..10,1
52,3.766233110734,0.00e+00,1..10,1
53,3.804408802004,0.00e+00,1..10,1
54,3.842635794938,0.00e+00,1..10,1
55,3.882016352766,0.00e+00,1..10,1
56,3.918995278192,0.00e+00,1..10,1
57,3.953942540525,0.00e+00,1..10,1
58,3.988108694240,0.00e+00,1..10,1
59,4.023613974563,0.00e+00,1..10,1
60,4.056310215554,0.00e+00,1..10,1
61,4.087823694951,0.00e+00,1..10,1
62,4.122816770019,0.00e+00,1..4,1
63,4.153848570061,0.00e+00,1..10,1
64,4.186707658706,0.00e+00,1..10,1
65,4.218344571030,0.00e+00,1..10,1
66,4.254094763412,0.00e+00,1..4,1
67,4.287777805457,0.00e+00,1..4,1
68,4.322886593217,0.00e+00,1..10,1
69,4.356995844873,0.00e+00,1..10,1
70,4.392033306611,0.00e+00,1..10,1
71,4.426322769390,0.00e+00,1..10,1
72,4.458700040315,0.00e+00,1..10,1
73,4.485764375318,0.00e+00,1..10,1
74,4.515831514538,0.00e+00,1..10,1
75,4.548127237086,0.00e+00,1..10,1
76,4.575673265057,0.00e+00,1..10,1
77,4.605135681249,0.00e+00,1..10,1
78,4.634294322372,0.00e+00,1..10,1
79,4.663087543063,0.00e+00,1..10,1
80,4.695590667896,0.00e+00,1..10,1
81,4.723951199910,0.00e+00,1..10,1
82,4.752137878070,0.00e+00,1..10,1
83,4.783919133241,0.00e+00,1..10,1
84,4.813516974275,0.00e+00,1..10,1
85,4.845134378577,0.00e+00,1..10,1
86,4.873329027231,0.00e+00,1..10,1
87,4.906503570705,0.00e+00,1..10,1
88,4.926769798513,0.00e+00,1..10,1
89,4.960536552054,0.00e+00,1..10,1
90,4.984305608276,0.00e+00,1..10,1
91,5.012564024984,0.00e+00,1..10,1
92,5.038868088704,0.00e+00,1..10,1
93,5.066398513686,0.00e+00,1..10,1
94,,,1..10,0
95,,,1..10,0
96,,,1..10,0
97,,,1..10,0
98,,,1..10,0
99,,,1..10,0
100,,,1..10,0
